,Date,Open,High,Low,Close,Adj Close,Volume,Predicted
0,2021-04-30,57.610001000000004,58.43,57.07,57.529999,55.989826,30731800,57.34893
1,2021-05-03,57.860001000000004,57.880001,56.84,57.259997999999996,55.727062,22281700,57.14515
2,2021-05-04,56.880001,56.98,55.810001,56.900002,55.376701000000004,35323600,56.317272
3,2021-05-05,56.959998999999996,57.299999,56.459998999999996,56.849998,55.328037,21001900,56.569553
4,2021-05-06,56.619999,57.25,56.25,57.189999,56.001743000000005,25529300,56.503883
5,2021-05-07,57.700001,58.009997999999996,57.240002000000004,57.669998,56.47176700000001,19959000,57.343834
6,2021-05-10,57.150002,57.23,55.880001,55.970001,54.807095,35046500,56.23168
7,2021-05-11,55.049999,55.630001,54.299999,55.040001000000004,53.89641999999999,35968100,54.68597
8,2021-05-12,54.389998999999996,54.650002,53.419998,53.619999,52.505917000000004,30232300,53.723946
9,2021-05-13,54.040001000000004,54.389998999999996,53.459998999999996,54.009997999999996,52.887814,29192500,53.680363
10,2021-05-14,54.599998,55.849998,54.259997999999996,55.349998,54.199974,28158300,54.695812
11,2021-05-17,55.290001000000004,55.889998999999996,54.759997999999996,55.330002,54.180393,20010200,54.994316
12,2021-05-18,55.950001,56.139998999999996,54.799999,54.84,53.700573,18703400,55.108147
13,2021-05-19,54.07,55.43,53.84,55.360001000000004,54.20976999999999,23769700,54.36197
14,2021-05-20,55.57,56.240002000000004,55.360001000000004,55.950001,54.787514,23145200,55.4533
15,2021-05-21,56.419998,56.709998999999996,55.98,56.080002,54.914809999999996,17723100,55.970467
16,2021-05-24,56.650002,57.389998999999996,56.400002,56.959998999999996,55.776524,19164400,56.52661
17,2021-05-25,57.560001,57.560001,56.419998,56.869999,55.688393000000005,22309900,56.782085
18,2021-05-26,57.049999,57.23,56.59,56.919998,55.737354,15173600,56.62516
19,2021-05-27,57.110001000000004,57.880001,57.0,57.73,56.53052099999999,32387600,57.11462
20,2021-05-28,57.549999,57.650002,56.939999,57.119999,55.933197,20303900,56.997704
21,2021-06-01,57.610001000000004,57.82,56.59,56.889998999999996,55.707981000000004,20326400,56.908855
22,2021-06-02,56.91,57.689999,56.759997999999996,57.48,56.285720999999995,18483600,56.891094
23,2021-06-03,56.98,57.099998,56.09,56.240002000000004,55.071484,21831300,56.276985
24,2021-06-04,56.549999,57.75,56.540001000000004,57.369999,56.178005000000006,21493800,56.731434
25,2021-06-07,57.41,57.439999,56.779999,57.09,55.903819999999996,17364400,56.860657
26,2021-06-08,57.450001,57.639998999999996,56.599998,57.0,55.815693,33254500,56.853054
27,2021-06-09,57.360001000000004,57.48,56.970001,57.0,55.815693,13904800,56.883484
28,2021-06-10,57.150002,58.029999,56.93,57.380001,56.187798,26738100,57.056145
29,2021-06-11,57.470001,57.939999,56.950001,57.849998,56.648029,18119700,57.23934
30,2021-06-14,58.02,58.200001,57.23,58.189999,56.980965000000005,21784500,57.604313
31,2021-06-15,58.209998999999996,58.419998,57.799999,57.990002000000004,56.785126,20806500,57.803997
32,2021-06-16,58.150002,58.369999,56.77,57.220001,56.031124,21879700,57.31579
33,2021-06-17,57.049999,57.900002,56.700001,57.18,55.991955000000004,21498800,56.888557
34,2021-06-18,56.68,56.75,55.099998,55.669998,54.513329000000006,55118300,55.722664
35,2021-06-21,55.75,56.040001000000004,55.369999,55.869999,54.709167,19254600,55.4309
36,2021-06-22,55.939999,56.279999,55.5,55.869999,54.709167,18682800,55.570396
37,2021-06-23,55.869999,55.970001,55.23,55.259997999999996,54.11184300000001,20287900,55.25692
38,2021-06-24,55.490002000000004,56.099998,55.34,56.07,54.905014,21209700,55.423435
